ABV;IBU;Rating;BrandAwareness;Style_ale;Style_lager;Style_hybrid
6.9;80,0;74.1;59424;1;0;0
10.0;;72.2;1084;1;0;0
5.0;;44.9;418;0;1;0
6.6;;84.8;15014;1;0;0
5.2;33,0;68.9;7206;0;1;0
5.0;;64.9;3817;0;1;0
6.0;30,0;74.2;8387;1;0;0
5.3;;82.9;461;1;0;0
12.0;60,0;78.3;9851;1;0;0
4.5;;71.6;464;0;0;1
9.5;75,0;78.9;38013;1;0;0
6.0;;69.2;1255;1;0;0
8.5;80,0;85.3;2003;1;0;0
14.6;;84.0;211;1;0;0
6.8;88,0;79.3;31160;1;0;0
3.8;;60.9;2616;1;0;0
7.5;;50.7;1133;0;1;0
7.0;50,0;74.4;17342;1;0;0
10.5;72,0;93.4;2479;1;0;0
6.5;;62.8;2286;1;0;0
6.0;;57.5;222;0;1;0
13.75;34,0;82.0;10207;1;0;0
6.6;;46.4;68;0;1;0
7.5;;69.7;9263;0;1;0
5.6;36,0;65.8;1763;0;1;0
8.9;110,0;;4731;1;0;0
8.6;95,0;69.7;14884;1;0;0
8.0;8,0;72.5;46725;0;0;1
6.3;66,0;75.1;1483;1;0;0
13.0;;86.7;10951;1;0;0
8.5;;79.3;9181;1;0;0
5.2;30,0;75.0;5108;1;0;0
9.7;;74.9;16884;1;0;0
8.1;;65.4;14942;1;0;0
6.66;66,0;82.3;15455;1;0;0
11.0;89,0;71.9;294;1;0;0
11.0;;79.4;3118;1;0;0
5.2;21,0;67.4;3048;1;0;0
9.9;;82.1;1169;1;0;0
5.0;20,0;73.2;2870;1;0;0
6.5;;68.4;6651;1;0;0
5.6;42,0;68.1;5434;1;0;0
6.1;;73.2;1148;1;0;0
8.1;;78.2;3743;1;0;0
5.5;40,0;66.1;5548;1;0;0
4.9;;75.9;4175;0;1;0
6.8;88,0;75.2;85404;1;0;0
5.0;;65.2;103;1;0;0
6.5;;72.9;2329;1;0;0
9.0;65,0;85.9;9513;1;0;0
5.5;20,0;60.0;16284;0;1;0
10.0;;76.4;8146;1;0;0
7.6;20,0;68.4;69755;1;0;0
6.5;;59.5;6336;1;0;0
6.0;;56.0;172;0;1;0
5.2;33,0;71.2;8017;1;0;0
7.1;;69.4;1149;1;0;0
7.2;;67.3;15449;1;0;0
8.2;;83.6;6330;1;0;0
4.8;14,0;77.0;3506;1;0;0
0.4;;57.9;1955;0;1;0
9.0;;70.6;7325;1;0;0
10.5;120,0;83.3;15449;1;0;0
4.8;29,0;66.9;17931;1;0;0
4.8;;73.5;16004;0;1;0
6.5;60,0;78.0;25162;1;0;0
5.0;14,0;73.0;46513;1;0;0
5.3;32,0;76.5;7254;1;0;0
8.0;;86.6;4657;1;0;0
4.25;10,0;60.7;14398;0;1;0
9.4;;;1336;1;0;0
6.2;46,0;79.6;389072;1;0;0
4.25;;74.1;27262;0;1;0
10.0;69,0;82.4;6832;1;0;0
4.6;;70.1;4103;0;1;0
8.5;;92.3;4876;1;0;0
10.0;;75.3;38323;0;0;1
4.72;;51.8;43856;0;1;0
5.0;10,0;78.7;50656;1;0;0
9.8;65,0;78.8;3457;1;0;0
5.7;;72.1;51550;1;0;0
8.0;70,0;81.8;8160;1;0;0
6.2;25,0;86.5;5985;1;0;0
5.6;;68.7;6008;1;0;0
5.7;;74.8;32827;1;0;0
11.3;75,0;69.8;658;1;0;0
9.0;;89.8;3486;1;0;0
7.5;;78.8;32067;1;0;0
9.5;80,0;78.1;18714;1;0;0
6.5;;69.0;2448;0;0;1
4.5;22,0;71.1;7416;0;1;0
3.9;16,0;63.2;5521;0;1;0
4.5;;74.6;1842;1;0;0
5.0;;68.1;14070;1;0;0
3.8;;77.3;2160;1;0;0
9.7;;63.4;2781;0;1;0
7.6;;79.9;2475;1;0;0
10.0;80,0;68.7;462;1;0;0
6.4;;85.0;1416;1;0;0
9.2;;75.5;12767;0;1;0
